X,Y,Z
459129.25,109486.61,350.54
393927.15,41286.71,272.16
410227.32,35786.46,486.31
425429.14,132987.77,1309.31
428727.85,64786.38,764.5
450128.49,79486.35,709.3
389628.45,140888.58,2122.85
460929.68,124486.75,418.82
448728.78,92686.62,326.59
427629.66,147488.0,1154.06
613131.11,151682.41,190.63
429227.74,50886.27,759.19
502028.17,46485.46,834.18
495130.31,139286.05,1171.01
564930.89,133984.06,384.85
381628.27,127488.49,1550.47
502828.37,61485.41,698.2
495430.78,151986.27,1179.56
567131.39,151183.85,371.81
418728.95,133687.95,1527.01
438929.37,127587.34,740.56
560832.14,169484.03,358.3
439329.03,112487.01,944.6
420929.52,151288.23,1937.84
486128.43,68385.5,588.53
486128.12,54585.83,1053.28
491430.17,136286.07,1560.66
377528.16,128988.59,1604.17
529431.64,158785.26,833.96
492030.72,151486.35,1223.94
528931.04,144685.09,1285.46
425427.87,70486.44,781.54
443528.42,76486.34,690.84
445028.61,88486.68,684.47
424227.67,53186.37,810.56
549531.02,139484.6,250.82
521831.66,158785.39,883.8
501928.11,41585.34,837.86
549131.48,151484.54,286.37
521630.99,145085.3,1455.29
501428.21,55485.54,982.03
598532.85,193482.61,334.92
555931.96,166484.25,351.42
455628.92,96286.5,357.66
476329.17,103486.16,633.34
409627.5,50786.56,191.06
408627.59,64586.69,461.51
455228.54,79986.31,955.33
476129.64,118786.33,774.89
616930.97,149582.33,161.29
456029.52,121486.83,388.88
416327.42,39286.39,507.84
559931.85,162184.09,340.15
455129.14,105186.66,587.14
537931.23,143684.87,980.65
520628.66,64384.98,856.33
519928.4,46485.06,199.74
538031.62,160485.06,751.73
444929.06,109486.89,699.53
445628.61,88086.65,806.29
423129.3,139087.95,1200.18
443429.39,124987.22,657.06
445828.35,70986.21,698.18
490628.04,50885.61,744.19
489530.45,145886.39,1195.13
491728.41,65185.47,542.6
489830.14,133486.08,717.03
535631.05,142484.89,865.47
512028.24,34485.01,549.78
487030.7,151786.49,1193.17
533831.47,154485.18,702.29
486330.18,138686.35,1220.95
441028.67,93186.75,796.78
419027.57,49486.38,716.86
416429.28,146888.18,1492.66
420327.78,66886.49,631.31
418628.94,133487.95,1480.94
439428.38,78386.49,921.41
503230.68,145485.96,917.17
544631.41,150084.68,753.0
496228.19,54685.62,875.86
503131.28,160486.14,619.71
496028.51,67485.37,871.02
544930.77,133684.69,327.61
461428.7,83686.25,894.87
448129.18,112486.9,526.81
428229.72,150388.07,1773.01
459528.95,97986.45,314.76
390027.13,43486.78,118.73
427729.35,136487.8,814.32
448429.58,129487.15,511.1
551432.01,169284.51,419.74
512028.63,67685.09,327.24
510928.37,54985.21,656.96
502331.32,162986.19,892.4
468129.76,127786.68,1152.83
398428.6,136488.35,1435.18
399528.8,148488.55,1888.2
469029.51,115486.49,370.12
528330.59,132885.12,1007.93
479427.95,49385.71,1189.08
562631.57,154883.98,376.93
386827.89,100487.58,321.88
526631.1,146385.17,1508.36
562731.04,140484.06,236.72
477228.25,61485.76,1199.35
391627.08,36386.71,131.44
430127.65,44486.23,629.16
452429.22,110286.76,550.2
