X,Y,Z
460629.21,107786.56,295.32
391927.13,40886.73,17.08
410427.33,36286.47,428.37
427329.11,130687.71,826.33
429927.88,64586.36,614.95
449028.45,78386.33,596.42
389828.44,142288.58,1090.5
459629.64,123686.77,395.01
449528.76,91786.6,289.52
426829.63,147488.01,887.34
614431.09,152182.36,156.28
428527.73,51486.28,707.99
503828.21,49285.44,715.37
495430.29,138886.03,877.42
567130.92,134283.99,227.26
380628.19,125788.44,711.74
503428.42,63085.37,602.44
497330.78,151686.23,727.8
565431.37,149983.95,267.84
419829.01,134987.97,1319.01
440629.51,130087.33,418.26
561732.09,168083.99,294.98
440129.06,113787.02,794.7
420629.47,149288.18,1185.1
486928.46,69185.47,445.26
488428.09,53385.74,1012.29
491130.16,134686.04,1077.96
377728.17,128888.58,1489.45
530131.66,160085.24,498.74
491630.6,148786.35,618.52
529731.01,143885.05,1176.57
423827.84,70386.44,325.2
445328.42,76286.32,506.7
444128.65,90786.7,398.79
424827.7,55286.37,609.98
550830.89,136584.52,242.0
520731.67,159485.43,648.44
499628.04,40985.37,567.84
549331.53,153484.51,276.73
520430.91,142785.38,963.23
500828.2,55885.55,945.81
597432.84,193482.65,315.1
556231.88,164284.24,289.93
456228.94,96986.5,292.22
475229.23,105586.19,258.76
409027.48,50186.57,9.11
409327.61,64886.69,398.2
455328.58,81386.33,847.76
476529.65,118986.32,610.92
618630.96,150182.27,153.36
455629.51,121386.84,387.34
414727.42,40386.43,247.92
560231.86,162384.07,286.06
456729.11,103986.62,334.71
539931.33,144384.86,811.41
521228.61,62085.02,405.79
520528.46,48785.04,157.08
539531.54,158284.99,462.31
445529.08,109986.9,613.52
446428.6,86586.59,635.97
424729.32,137387.89,949.68
444929.45,125887.2,365.59
445728.36,71886.22,542.69
492628.07,49885.57,465.94
489230.54,147886.42,720.24
491628.44,66285.43,524.8
488630.13,131086.11,416.09
535330.96,141284.9,653.08
512928.24,33184.98,367.55
486630.8,154386.56,659.29
534631.46,154685.17,544.43
487830.18,138386.31,674.13
439528.65,92986.77,569.03
419727.59,50686.38,483.44
417229.32,147288.17,955.19
420627.78,67186.49,603.41
417228.9,133387.95,1386.59
440328.38,76986.43,556.43
503030.56,143185.95,714.82
545831.4,149484.66,535.97
495328.19,53985.64,566.73
502231.16,157986.16,421.95
495428.54,68485.34,567.16
545930.77,133484.66,279.41
461028.71,84386.27,552.13
448329.24,115186.94,359.76
429829.75,148988.0,1352.37
460029.0,99986.48,293.51
391527.15,44686.78,36.71
429429.28,134587.73,465.39
449129.58,128387.12,433.33
551931.97,168184.48,290.21
512728.68,69185.06,251.79
512328.37,53385.18,322.34
502431.27,160586.18,522.2
468729.82,129986.66,678.0
398728.59,134188.28,514.4
399728.84,149788.57,1151.77
469829.51,114986.48,328.43
528230.5,130685.13,478.15
478027.96,48585.73,800.47
564131.64,157183.91,230.95
386627.86,99487.58,243.11
528531.09,145885.12,1112.32
563331.06,140984.04,234.6
478328.27,64485.71,485.8
389627.03,34886.71,55.04
430927.68,45286.23,549.47
454229.23,110186.72,356.22
452429.65,127287.02,441.7
409928.94,141888.16,1742.3
430127.86,60586.31,586.07
415927.51,47986.42,458.73
436628.66,96686.82,680.7
438528.76,100486.83,666.11
471728.42,72185.83,630.76
580732.8,192883.25,328.34
531731.8,164385.15,794.39
473929.75,125086.51,618.75
404828.7,136488.15,1470.35
435828.38,82486.64,726.4
438129.1,116087.12,536.91
415227.69,64186.57,366.3
403629.06,154188.62,1309.99
471328.74,88486.05,365.71
473929.36,109486.3,391.6
481527.73,42685.54,426.68
520628.33,40085.03,255.65
517730.41,130485.33,442.06
516028.65,66085.04,428.14
544231.02,140784.86,297.79
483430.28,141986.49,1265.15
479728.1,55785.67,576.99
519831.07,147685.38,801.96
543231.5,154884.71,459.98
515728.39,51785.11,168.44
499731.46,167586.3,1082.22
464428.53,75486.0,771.34
539531.65,160884.96,712.27
548232.03,170284.66,397.88
465828.76,88686.25,421.74
559731.71,158584.09,238.02
508130.52,136485.66,396.48
530728.31,37484.94,182.66
560331.25,145384.18,239.64
508030.94,148485.86,485.5
506728.27,50985.35,800.4
509330.85,145485.81,539.65
507328.51,64885.23,191.36
510430.43,131785.51,340.1
464129.33,111186.54,429.33
462028.78,87786.32,402.35
540331.76,163784.9,781.41
463629.75,126786.74,1294.3
521731.76,161585.44,511.5
463028.47,71285.97,758.47
395928.55,139288.51,1171.09
483428.21,60585.68,611.75
515731.12,149585.64,933.92
483527.79,44285.56,671.16
515930.56,136185.45,559.58
434429.08,120487.33,633.63
414329.1,143588.1,1079.46
474328.8,89185.99,326.63
436628.81,103886.94,599.07
530731.67,160785.23,323.19
473328.5,74385.82,661.82
567430.8,128184.01,416.19
404527.52,69686.83,243.87
411527.6,59186.58,379.39
409927.4,45786.54,80.01
524731.23,149385.22,1471.65
386228.3,122288.33,1121.84
497828.2,56485.59,621.19
477330.3,142786.6,763.37
525130.6,134185.26,423.61
503028.11,39585.26,638.04
497728.01,40985.39,269.78
398927.33,50386.78,0.0
402428.8,145788.37,1719.58
469228.76,91486.14,357.88
505231.38,163586.05,679.43
470028.61,78985.96,480.11
401828.64,133488.17,1699.38
513031.27,154285.69,1151.38
555631.04,140184.37,242.52
511130.56,136685.59,511.89
554631.59,155384.33,247.02
466629.99,139886.81,1008.71
468328.26,56685.91,871.76
401428.52,123588.02,546.27
600831.33,153382.67,179.43
401528.38,108987.6,650.64
600430.68,138882.7,176.6
513729.04,79784.99,419.46
511930.06,117585.29,761.94
553629.52,93184.23,205.39
515429.44,94485.01,288.15
512729.69,102385.15,280.53
553329.16,79084.3,154.67
570231.14,144683.8,244.55
433729.84,148687.92,1319.6
571131.6,159183.66,242.29
434129.42,135087.62,419.06
528729.38,85184.78,164.94
581231.95,170783.2,199.25
497929.25,92885.43,381.65
582732.55,185783.17,318.87
527729.68,98784.8,294.41
386428.46,131788.45,393.49
562030.71,128584.12,321.73
497528.86,79385.31,250.06
479629.59,115486.24,574.65
518629.24,83284.92,201.85
522930.16,119285.15,379.46
480729.94,129886.31,1192.61
524429.81,104084.83,759.28
518429.55,99184.99,285.29
413828.03,88686.94,590.52
438928.02,53886.19,624.32
470730.19,144186.77,1382.77
407228.43,119087.85,768.93
437128.19,67586.31,525.03
412227.82,75186.79,279.73
407128.28,103687.42,655.63
586532.05,175282.98,211.23
508830.12,122285.45,268.18
556730.49,127284.22,402.72
509429.79,107985.32,299.55
586532.64,189483.05,375.48
462128.3,61885.9,743.17
398127.59,80887.17,527.44
394828.34,116188.05,552.25
396328.04,97187.42,345.32
395128.15,103187.57,456.21
462628.14,48085.8,970.71
447027.81,39585.98,587.2
398128.22,103987.54,727.5
461630.06,145486.97,1080.0
397328.44,119888.06,189.17
592831.75,167882.85,183.53
510329.61,100185.17,603.08
592932.41,184482.79,328.62
510429.13,84385.08,433.45
438529.61,136587.52,546.96
412128.67,127387.91,527.0
414927.8,71486.65,241.68
402928.21,101787.41,811.32
406228.04,95487.2,995.63
588331.48,158183.09,180.47
412128.45,109887.46,696.81
415328.01,85686.87,267.13
470528.35,63685.89,875.13
589530.98,142683.14,231.54
405028.42,117887.87,826.94
405127.74,81487.08,71.95
479928.64,77585.66,632.5
519129.91,108284.99,409.37
576432.69,188983.4,287.29
523429.62,97184.87,190.49
544529.86,105684.44,317.3
480828.99,92885.89,517.8
522129.2,79684.9,160.54
576632.11,173983.33,207.81
519530.15,121985.32,238.03
543030.32,120384.59,217.08
528629.91,109484.84,519.6
498030.16,128485.75,733.31
478728.39,70885.72,725.72
527730.32,123885.07,277.75
498229.9,114185.62,540.39
477328.8,87785.9,356.26
433428.08,66586.36,647.9
452529.77,134187.03,1515.85
431228.23,79786.62,740.67
430828.59,95586.91,673.23
432127.82,50186.24,642.75
514129.83,106485.16,393.98
591131.57,161782.96,179.93
552830.53,129984.45,404.68
513830.1,120785.29,298.64
590432.06,176382.87,240.7
401128.11,97587.36,520.45
467228.3,59685.92,967.33
400927.73,84087.18,68.12
504729.22,89685.21,271.84
493829.95,119985.77,470.37
597931.87,170182.68,178.29
505128.84,75185.18,309.68
598032.5,185682.59,298.15
494829.6,106385.77,554.96
426628.15,82686.67,929.78
452128.23,59086.0,1020.63
590431.08,144483.07,236.66
392128.41,129188.4,1463.38
459129.85,134086.85,1148.35
589931.55,160483.02,181.97
450227.97,43485.92,732.29
427128.6,99687.02,770.87
536329.52,92584.69,335.18
485228.77,81085.58,273.31
487929.78,117185.97,767.42
535929.22,78684.69,387.71
572231.82,164583.6,269.69
485729.12,95285.77,540.8
486229.32,103485.93,273.65
580431.32,152383.33,285.48
417028.75,124487.75,702.98
442229.79,139487.45,1144.75
440028.06,56186.17,562.14
580130.9,137383.56,288.32
439727.79,42586.1,523.36
416428.41,108387.37,449.24
421628.06,82386.71,364.72
424728.83,117887.52,889.47
446428.3,64386.12,819.11
577031.16,145783.5,223.54
447728.04,48285.96,1063.65
422028.4,96987.07,673.97
424428.53,101287.12,328.15
576330.85,131783.78,251.06
490130.01,123585.96,1033.48
532729.96,111184.76,588.48
589332.1,177082.89,235.19
529529.42,87784.79,261.88
